sentence,source,href
审度量，节衣服，俭财用，禁侈泰，为国之急也。,《管子·八观》,/mingju/juv_88246d3a0969.aspx
只是心不放肆，便无过差。只是心不怠忽，便无逸志。,《格言联璧·存养类》,/mingju/juv_aadff359ed43.aspx
文起八代之衰，而道济天下之溺；忠犯人主之怒，而勇夺三军之帅：此岂非参天地，关盛衰，浩然而独存者乎？,苏轼《潮州韩文公庙碑》,/mingju/juv_d7efee39696e.aspx
君之所以明者兼听也，其所以闇者偏信也。,《潜夫论·卷二·明闇》,/mingju/juv_1b4cb5dc43bb.aspx
时来天地皆同力，运去英雄不自由。,罗隐《筹笔驿》,/mingju/juv_6b423137e721.aspx
宁可正而不足，不可邪而有余。,《增广贤文·上集》,/mingju/juv_ab507aee857f.aspx
浮云一别后，流水十年间。,韦应物《淮上喜会梁川故人 / 淮上喜会梁州故人》,/mingju/juv_3f444ec1081f.aspx
小立红桥柳半垂，越罗裙飏缕金衣。,纳兰性德《山花子·小立红桥柳半垂》,/mingju/juv_ba3d54b5a12a.aspx
白苎新袍入嫩凉。,辛弃疾《鹧鸪天·送廓之秋试》,/mingju/juv_85cebe882265.aspx
白马驮经事已空，断碑残刹见遗踪。,张继《宿白马寺》,/mingju/juv_2a892ce6193e.aspx
翠葆参差竹径成。新荷跳雨泪珠倾。曲阑斜转小池亭。,周邦彦《浣沙溪·翠葆参差竹径成》,/mingju/juv_40877b642b65.aspx
自笑好山如好色，只今怀树更怀人。闲愁闲恨一番新。,辛弃疾《浣溪沙·偕叔高子似宿山寺戏作》,/mingju/juv_05725a552e23.aspx
先帝天马玉花骢，画工如山貌不同。,杜甫《丹青引赠曹将军霸》,/mingju/juv_de4467fed326.aspx
晓来风，夜来雨，晚来烟。,张惠言《水调歌头·春日赋示杨生子掞》,/mingju/juv_130481371a36.aspx
竹里风生月上门。,和凝《江城子·竹里风生月上门》,/mingju/juv_0303880cc487.aspx
百般生意不赚钱，不如挑粪做良田。,,/mingju/juv_ae86753d78d4.aspx
巴陵无限酒，醉杀洞庭秋。,李白《陪侍郎叔游洞庭醉后三首》,/mingju/juv_ab1230edcf13.aspx
梦入少年丛，歌舞匆匆。,辛弃疾《浪淘沙·山寺夜半闻钟》,/mingju/juv_fa1e0b5c23ec.aspx
纷纷辞客多停笔，个个公卿欲梦刀。,元稹《寄赠薛涛》,/mingju/juv_45d83fa20b9f.aspx
刑称罪，则治；不称罪，则乱。,《荀子·正论》,/mingju/juv_88fc659157ce.aspx
中庭生旅谷，井上生旅葵。,佚名《十五从军征》,/mingju/juv_0387f81f61e7.aspx
鸟无声兮山寂寂，夜正长兮风淅淅。,李华《吊古战场文》,/mingju/juv_706619bb5b9d.aspx
百年浑似醉 ，满怀都是春。,张可久《金字经·乐闲》,/mingju/juv_2c8990535bf6.aspx
拆桐花烂熳，乍疏雨、洗清明。,柳永《木兰花慢·拆桐花烂熳》,/mingju/juv_50e4a0275f46.aspx
方而不割，廉而不刿，直而不肆，光而不耀。,《老子·德经·第五十八章》,/mingju/juv_0a396acce9fa.aspx
应为洛神波上袜，至今莲蕊有香尘。,温庭筠《莲花》,/mingju/juv_4ea37a681c3d.aspx
褚小者不可以怀大，绠短者不可以汲深。,《庄子·外篇·至乐》,/mingju/juv_028201d4044e.aspx
已诉征求贫到骨，正思戎马泪盈巾。,杜甫《又呈吴郎》,/mingju/juv_d8ca6f566ff8.aspx
骐骥虽疾，不遇伯乐，不致千里,《说苑·建本第三》,/mingju/juv_83cc89ac4fad.aspx
仙苑春浓，小桃开，枝枝已堪攀折。,阮逸女《花心动·春词》,/mingju/juv_a70240c19bb6.aspx
吞舟之鱼，陆处则不胜蝼蚁。,《吕氏春秋·览·审分览》,/mingju/juv_f2af1b0b0b8b.aspx
良药苦口，惟疾者能甘之。忠言逆耳，惟达者能受之。,《三国志·吴书·吴主五子传》,/mingju/juv_453792d3731d.aspx
人不读书，其犹夜行。,《酉阳杂俎·卷十一》,/mingju/juv_1379caac89fc.aspx
用天之道，分地之利，谨身节用，以养父母，此庶人之孝也。,《孝经·庶人》,/mingju/juv_9b64a566dbee.aspx
一身都是愁。,辛弃疾《菩萨蛮·金陵赏心亭为叶丞相赋》,/mingju/juv_1af5a85c478d.aspx
一家二贵，事乃无功。,《韩非子·扬权》,/mingju/juv_124760f2e5e0.aspx
眼前道路无经纬，皮里春秋空黑黄。,曹雪芹《螃蟹咏》,/mingju/juv_259ea7e45cf8.aspx
闲碾凤团消短梦，静看燕子垒新巢。,周邦彦《浣溪沙·水涨鱼天拍柳桥》,/mingju/juv_435aa9f0ab96.aspx
杨柳青青江水平，闻郎江上唱歌声。,刘禹锡《竹枝词二首·其一》,/mingju/juv_5ea1e2e3a741.aspx
